101,0,-0.216286,-0.256634,1.71286
102,0,-0.21116,-0.257034,1.70646
103,0,-0.21843,-0.256632,1.713
104,0,-0.213257,-0.256801,1.71409
105,0,-0.21743,-0.256849,1.71481
106,0,-0.217468,-0.256894,1.71511
107,0,-0.215162,-0.256801,1.71384
108,0,-0.217694,-0.256554,1.71222
109,0,-0.213952,-0.256401,1.71126
110,0,-0.212962,-0.257263,1.70746
111,0,-0.217373,-0.256551,1.71259
112,0,-0.215935,-0.256366,1.71145
113,0,-0.214431,-0.256339,1.71114
114,0,-0.217046,-0.256559,1.71211
115,0,-0.215459,-0.256309,1.71095
116,0,-0.216709,-0.256399,1.71144
117,0,-0.216602,-0.256445,1.71121
118,0,-0.215697,-0.256643,1.71317
119,0,-0.215598,-0.256243,1.71036
120,0,-0.214302,-0.256564,1.71209
121,0,-0.216688,-0.256349,1.71136
122,0,-0.215253,-0.256674,1.71324
123,0,-0.217001,-0.256396,1.71155
124,0,-0.215487,-0.256527,1.71266
125,0,-0.21464,-0.256467,1.71132
126,0,-0.217111,-0.256763,1.71436
127,0,-0.21722,-0.256473,1.71207
128,0,-0.214753,-0.256448,1.71137
129,0,-0.215634,-0.256695,1.71379
130,0,-0.215748,-0.256405,1.71145
131,0,-0.214259,-0.256428,1.71151
132,0,-0.216433,-0.256465,1.71225
133,0,-0.215254,-0.256667,1.71371
134,0,-0.21715,-0.256572,1.71247
135,0,-0.215981,-0.256675,1.71329
136,0,-0.214409,-0.256472,1.71151
137,0,-0.215488,-0.256457,1.71195
138,0,-0.217229,-0.256623,1.71331
139,0,-0.213594,-0.255197,1.70401
140,0,-0.262735,-0.243928,1.654
141,0,-0.252448,-0.248493,1.6597
142,0,-0.207249,-0.254803,1.68657
143,0,-0.19561,-0.255732,1.69568
144,1,-0.200518,-0.255733,1.69361
145,1,-0.206226,-0.255575,1.69177
146,1,-0.196748,-0.255504,1.69306
147,1,-0.197444,-0.255205,1.69279
148,1,-0.198006,-0.255062,1.69216
149,1,-0.193289,-0.256154,1.6918
150,1,-0.195994,-0.254987,1.69171
151,1,-0.198157,-0.254665,1.68598
152,1,-0.202386,-0.253898,1.69391
153,1,-0.199795,-0.254023,1.69375
