1970,0,0.487504,-0.209951,1.885,-nan,-nan,-nan
1971,0,0.486174,-0.209145,1.8845,-nan,-nan,-nan
1972,0,0.484686,-0.208409,1.88871,-nan,-nan,-nan
1973,0,0.479498,-0.209912,1.89179,-nan,-nan,-nan
1975,0,0.48131,-0.210729,1.89281,-nan,-nan,-nan
1976,0,0.481786,-0.210731,1.89029,-nan,-nan,-nan
1977,1,-nan,-nan,-nan,-nan,-nan,-nan
1978,0,0.478931,-0.210373,1.88869,-nan,-nan,-nan
1979,0,0.47897,-0.210125,1.89431,-nan,-nan,-nan
1981,0,0.480805,-0.21063,1.89235,-nan,-nan,-nan
1982,1,-nan,-nan,-nan,-nan,-nan,-nan
1983,0,0.477895,-0.21038,1.89238,-nan,-nan,-nan
1984,0,0.48397,-0.208307,1.88778,-nan,-nan,-nan
1985,0,0.478851,-0.210231,1.8948,-nan,-nan,-nan
1987,0,0.484444,-0.208509,1.88961,-nan,-nan,-nan
1988,0,0.485225,-0.208846,1.89267,-nan,-nan,-nan
1989,0,0.487833,-0.209528,1.88795,-nan,-nan,-nan
1990,1,-nan,-nan,-nan,-nan,-nan,-nan
1991,0,0.481354,-0.210912,1.8903,-nan,-nan,-nan
1993,0,0.484683,-0.208409,1.88871,-nan,-nan,-nan
1994,0,0.478166,-0.210379,1.89312,-nan,-nan,-nan
1995,0,0.487115,-0.20928,1.88662,-nan,-nan,-nan
1996,0,0.485387,-0.208913,1.89328,-nan,-nan,-nan
1997,0,0.479632,-0.210255,1.89254,-nan,-nan,-nan
1998,0,0.484923,-0.208711,1.89144,-nan,-nan,-nan
1999,0,0.479145,-0.210648,1.89876,-nan,-nan,-nan
2000,0,0.478801,-0.210558,1.894,-nan,-nan,-nan
2002,1,-nan,-nan,-nan,-nan,-nan,-nan
2003,1,-nan,-nan,-nan,-nan,-nan,-nan
2004,0,-nan,-nan,-nan,-nan,-nan,-nan
2005,0,0.478902,-0.209844,1.89494,-nan,-nan,-nan
2006,0,0.48444,-0.208509,1.88961,-nan,-nan,-nan
2008,0,0.478566,-0.210042,1.89019,-nan,-nan,-nan
2009,0,0.480259,-0.209903,1.89161,-nan,-nan,-nan
2010,1,-nan,-nan,-nan,-nan,-nan,-nan
2011,0,0.478588,-0.209727,1.89276,-nan,-nan,-nan
2012,0,0.479411,-0.210068,1.89165,-nan,-nan,-nan
2014,0,0.482071,-0.210794,1.89118,-nan,-nan,-nan
2015,0,0.48427,-0.208441,1.889,-nan,-nan,-nan
2016,1,-nan,-nan,-nan,-nan,-nan,-nan
2017,0,0.477706,-0.210187,1.8946,-nan,-nan,-nan
2018,0,0.479679,-0.210195,1.888,-nan,-nan,-nan
2019,1,-nan,-nan,-nan,-nan,-nan,-nan
2020,0,0.479889,-0.210255,1.89464,-nan,-nan,-nan
2022,0,0.48525,-0.208403,1.88865,-nan,-nan,-nan
2023,0,0.478067,-0.21012,1.89333,-nan,-nan,-nan
2024,0,0.487707,-0.209478,1.8875,-nan,-nan,-nan
2025,1,-nan,-nan,-nan,-nan,-nan,-nan
2026,0,0.479282,-0.210563,1.88851,-nan,-nan,-nan
2028,1,-nan,-nan,-nan,-nan,-nan,-nan
2029,0,0.480642,-0.210217,1.88958,-nan,-nan,-nan
2030,0,0.484758,-0.208644,1.89083,-nan,-nan,-nan
2031,0,0.484607,-0.20857,1.89017,-nan,-nan,-nan
2032,0,0.479831,-0.210157,1.89309,-nan,-nan,-nan
2034,1,-nan,-nan,-nan,-nan,-nan,-nan
2035,0,0.484119,-0.208374,1.88839,-nan,-nan,-nan
2036,0,0.48157,-0.21023,1.89068,-nan,-nan,-nan
2037,0,0.477647,-0.210258,1.89366,-nan,-nan,-nan
2038,0,0.484568,-0.208564,1.89011,-nan,-nan,-nan
2039,0,0.477604,-0.210089,1.89172,-nan,-nan,-nan
2040,0,0.486524,-0.20923,1.88443,-nan,-nan,-nan
2042,0,0.483955,-0.208307,1.88778,-nan,-nan,-nan
2043,0,0.484754,-0.208644,1.89083,-nan,-nan,-nan
2044,0,0.480554,-0.21002,1.89152,-nan,-nan,-nan
2045,0,0.483955,-0.208307,1.88778,-nan,-nan,-nan
2047,0,0.483789,-0.208239,1.88717,-nan,-nan,-nan
2048,0,0.484307,-0.208441,1.889,-nan,-nan,-nan
2049,0,0.480055,-0.210058,1.88816,-nan,-nan,-nan
2050,1,-nan,-nan,-nan,-nan,-nan,-nan
2051,0,0.478367,-0.209714,1.89251,-nan,-nan,-nan
