65,0,-0.221507,0.137981,1.78424,0.08438,0.255563,1.16103,0.598633,0.798267,0.0664031,0.223889,-0.0871501,-0.97071,-0.769099,0.595966,-0.230894,95.1302,12.9376,52.1044,0.565815,0.69222,0.369158,-0.253783
67,0,-0.226655,0.148751,1.77637,0.08438,0.255563,1.16103,0.597414,0.797592,0.0833209,0.206103,-0.0522989,-0.977132,-0.774995,0.600925,-0.19563,93.0637,11.8941,52.3727,0.580837,0.679217,0.369431,-0.254585
69,0,-0.231847,0.157982,1.77661,0.08438,0.255563,1.16103,0.621603,0.778681,0.0852411,0.149252,-0.010908,-0.988739,-0.768983,0.627325,-0.123,90.6321,8.58355,51.0499,0.609855,0.662478,0.350175,-0.258024
70,0,-0.23382,0.160016,1.77819,0.08438,0.255563,1.16103,0.628014,0.774913,0.0714795,0.107056,0.00494921,-0.994241,-0.770803,0.632049,-0.0798509,89.7148,6.14563,50.8285,0.62312,0.652479,0.33793,-0.267949
72,0,-0.233852,0.158939,1.77762,0.08438,0.255563,1.16103,0.629382,0.774704,0.0609275,0.0975978,-0.00101935,-0.995225,-0.770943,0.632324,-0.0762509,90.0587,5.60086,50.7725,0.622919,0.653195,0.33386,-0.271747
74,0,-0.234986,0.160837,1.777,0.08438,0.255563,1.16103,0.650129,0.75654,0.0705652,0.0698034,0.0330098,-0.997014,-0.75661,0.653114,-0.0313484,88.1037,4.0027,49.3287,0.64261,0.641963,0.321803,-0.267167
76,0,-0.236052,0.162835,1.77751,0.08438,0.255563,1.16103,0.660086,0.747148,0.0778216,0.0507609,0.0589963,-0.996967,-0.749473,0.662034,0.00101673,86.6134,2.90964,48.6285,0.655763,0.63247,0.315394,-0.265487
77,0,-0.233875,0.158427,1.77929,0.08438,0.255563,1.16103,0.643479,0.76117,0.0809573,0.137118,-0.010569,-0.990498,-0.753082,0.648466,-0.111171,90.6113,7.88113,49.4874,0.616794,0.664308,0.338054,-0.252942
79,0,-0.233986,0.158059,1.77911,0.08438,0.255563,1.16103,0.668614,0.74027,0.0703976,0.135713,-0.0283978,-0.990341,-0.731121,0.67171,-0.119452,91.6425,7.79986,47.5569,0.616596,0.673881,0.324977,-0.245118
80,0,-0.23533,0.158003,1.77836,0.08438,0.255563,1.16103,0.67228,0.732316,0.108412,0.158903,0.000283341,-0.987294,-0.723042,0.680965,-0.116177,89.9836,9.14325,47.0835,0.623776,0.668613,0.333234,-0.229815
